scene,query_count,Acc,vIoU,tIoU,temporal_union_eq_0,vIoU_count_eq_0
americano,10,0.7900763358778625,0.366317566301579,0.27519759241245134,1,2
coffee_martini,7,0.4238095238095238,0.2857142857142857,0.4238095238095238,2,2
cook-spinach,7,0.8571428571428571,0.2945248691544978,0.8571428571428571,2,2
cut_lemon,8,0.766566265060241,0.26601787655230047,0.33957416535173957,2,2
cut_roasted_beef,7,0.6095238095238096,0.035429128233101036,0.42857142857142855,0,2
espresso,8,0.9922680412371134,0.4595217903956536,0.4365284974093264,2,2
flame_salmon,7,0.6071428571428571,0.15738251344006438,0.3614718614718615,1,2
flame_steak,7,0.57,0.30041410040247385,0.57,2,2
keyboard,6,0.8205128205128205,0.17474631865832982,0.3327904451682953,1,2
sear_steak,7,0.590952380952381,0.14306062171029127,0.4508503401360544,1,2
split_cookie,8,0.7378731343283582,0.3919898185249209,0.2785412824514115,1,2
torchchocolate,7,0.7118084227910817,0.18165786413157273,0.28509406657018815,1,2
