scene,PSNR,SSIM,LPIPS_vgg,LPIPS_alex,train_seconds,render_seconds,gpu_peak_mb,storage_bytes,storage_mb
americano,28.77933120727539,0.8695648312568665,0.22534126043319702,0.13290897011756897,1647,60,20963,1021281775,973.9701986312866
espresso,24.957603454589844,0.8835091590881348,0.2222149819135666,0.10368622094392776,1340,73,15137,808284769,770.8404245376587
cut-lemon1,29.764249801635742,0.7545087933540344,0.361596018075943,0.2556254267692566,1038,137,15137,807482956,770.075756072998
keyboard,28.40508270263672,0.8866782784461975,0.20715069770812988,0.10172402858734131,1023,58,17463,628822641,599.6920022964478
split-cookie,31.296131134033203,0.9026299118995667,0.17708268761634827,0.09323007613420486,1244,53,15137,732169072,698.2508392333984
torchocolate,27.2677059173584,0.8747348785400391,0.2486439347267151,0.13472682237625122,1127,71,4877,690527914,658.5387363433838
coffee_martini,10.817521095275879,0.32891061902046204,0.6491538882255554,0.6861571669578552,4649,1120,32105,2830327126,2699.210287094116
cook_spinach,13.275568962097168,0.440193235874176,0.5890879034996033,0.5668120384216309,2135,816,32181,1905419941,1817.1500597000122
cut_roasted_beef,14.223709106445312,0.4259736239910126,0.588380753993988,0.5685922503471375,2180,803,32205,2029865393,1935.830491065979
flame_salmon_1,8.203100204467773,0.28097259998321533,0.6272022724151611,0.6547999978065491,2528,317,27403,876707389,836.0933198928833
flame_steak,14.379311561584473,0.4603700637817383,0.6087479591369629,0.6285958886146545,2572,1231,24237,2849791629,2717.7730836868286
sear_steak,12.940155029296875,0.5360674262046814,0.5492014288902283,0.5169044733047485,1338,769,17905,1497438565,1428.068699836731
